label,R_median,R_final,Global_median,PSD_slope,DFA_alpha,MI_median,Entropy_median,Corr_median
7,0.5875201,0.631928,0.4320228695869446,-4.185784490659057,1.9401008346294735,2.1794873264158943,3.1871391834436373,-0.2826176205558996
6,0.62710005,0.66469115,0.4280233755707741,-4.522776009053757,1.9237127036475283,2.135932075330789,3.1760437221142768,-0.2549400589603278
9,0.58423114,0.63884,0.43220195919275284,-3.970417997841977,1.9422291994549064,2.156073144148177,3.203023664039325,-0.29040360663856124
6,0.61577684,0.6422122,0.4286244437098503,-4.443032998766002,1.9297082205287477,2.1336195254547157,3.163608873022009,-0.2589937774854617
0,0.5742751,0.62043816,0.4309472255408764,-4.253399861542272,1.9504647979701242,2.13523393794351,3.1874758430868892,-0.2690551121580208
5,0.5638548,0.6085624,0.4316274896264076,-4.1259582371902574,1.9511720587569996,2.1557721286704283,3.1987754317218826,-0.2795338120007669
4,0.60809267,0.65535885,0.4301137402653694,-4.170239677748672,1.9319842459158774,2.126339015192227,3.1847619268531284,-0.2501996155087268
9,0.62786627,0.6563011,0.4273798353970051,-4.581657199919798,1.9202566967049322,2.1276927287027356,3.1868773789974254,-0.25579534596785336
9,0.64334655,0.66950923,0.4265888184309006,-4.430794117843619,1.9295280014675584,2.1399770407468415,3.178361735513294,-0.25953701952903124
2,0.5254402,0.57925266,0.4334171637892723,-4.216409757486791,1.9730706340586708,2.1529347059001256,3.2093761055394747,-0.28461438257646277
1,0.6840467,0.7451596,0.4253651723265648,-3.834243640017477,1.891982906165875,2.1118056348962466,3.1581207179330173,-0.3682482529621214
9,0.65171576,0.68687636,0.4271916076540947,-4.464090466482067,1.926825906379304,2.167038781209123,3.2147848111302517,-0.25090584955474793
4,0.6538854,0.6721656,0.4259672574698925,-4.660391760668326,1.949915702743437,2.0466493276274664,3.165335084917174,-0.26180962588730333
8,0.5743729,0.6232995,0.4318717233836651,-4.271746931228851,1.9542493852890577,2.1545925854143433,3.195518013757831,-0.2731143822688623
7,0.6910962,0.7241059,0.42347194626927376,-4.443846310056971,1.9415622295037354,2.063255188570657,3.1331981673514466,-0.3007962549963947
3,0.6689973,0.702259,0.4238852933049202,-4.276896178627898,1.9492501324656584,2.056106872248329,3.1465242015870816,-0.2768081636034381
9,0.64064634,0.6770312,0.4279881678521633,-4.486606873596564,1.9160532540921908,2.1581342119758085,3.212429084972576,-0.25093032297729484
7,0.68472624,0.7093839,0.4240803122520447,-4.47450071140045,1.9389549441707121,2.0884305314494087,3.140817507591981,-0.2861385136312615
4,0.6787502,0.69899,0.4236268103122711,-4.852954027528829,1.9677981231828823,2.0198055730098368,3.1377702811593795,-0.276622347159469
4,0.67953664,0.7201056,0.42430491000413895,-4.518492666521097,1.943637335392391,2.0465381506635483,3.1315870920006925,-0.3181599074268413
4,0.61888534,0.65796906,0.4299575611948967,-4.291235557503254,1.9271272990452861,2.1521819967850413,3.193246806135982,-0.2546199145199743
9,0.667257,0.69214654,0.42471151426434517,-4.877246567760894,1.9802625998493082,2.0557630624371552,3.1420914889343563,-0.26015370542802135
2,0.58810717,0.6368134,0.43108636513352394,-4.220152857385615,1.947357897327103,2.1351486596204006,3.178406054191681,-0.26381495294817386
5,0.51524633,0.58626616,0.4344170317053795,-4.197333665635642,1.963447140636865,2.2061983934193035,3.17669429927872,-0.32234027345150695
4,0.6488181,0.67671084,0.4261252135038376,-4.694209193337246,1.9555142368132863,2.072572904881274,3.155172568536913,-0.2667496734695824
7,0.6865781,0.73688185,0.42423804849386215,-3.752007579767298,1.8932086597200903,2.052252153797589,3.1754145377096843,-0.36682402821305204
6,0.61058915,0.64167887,0.4302831441164017,-4.205949815805761,1.9385553187582907,2.1460887391687247,3.2141755724101255,-0.25221746878578466
7,0.63029414,0.667604,0.429517425596714,-4.138132047483504,1.9077652761404358,2.176197564114015,3.204984287480544,-0.25749934957257775
9,0.6606488,0.6929958,0.4256158396601677,-4.739791919804013,1.9463741510340928,2.08126920991384,3.1684971966891204,-0.25691480765525626
