tiempo_t,N,media,mediana,std,Shapiro_p,Shapiro_normal,KS_p,KS_normal,Anderson_normal,Skewness,Kurtosis
76,10002,0.6059025,0.61467934,0.079286605,5.339498807125025e-32,No,7.035338590733063e-23,No,No,-0.7684008,0.93216133
77,10002,0.6074617,0.61604774,0.07862898,2.0789226419375844e-32,No,1.6049379957196033e-23,No,No,-0.7712396,0.95793533
78,10002,0.6097444,0.6183907,0.07894397,1.1993174398020835e-32,No,1.1618423733478238e-22,No,No,-0.8012986,1.0953655
79,10002,0.6107283,0.6198264,0.07875194,9.93216294704188e-35,No,4.201372968882177e-25,No,No,-0.8552575,1.3019123
80,10002,0.6127368,0.6215816,0.07848033,1.5148102050448712e-34,No,1.565036277494205e-24,No,No,-0.885339,1.5049124
81,10002,0.6124876,0.62187994,0.07934668,1.6260892677937257e-38,No,3.614497454431375e-35,No,No,-1.0158283,1.9890304
82,10002,0.61383605,0.62244284,0.07853413,8.893940034808149e-38,No,1.8143005191903957e-34,No,No,-1.0499219,2.2960873
83,10002,0.6117208,0.62150085,0.08106321,4.4145810249543227e-45,No,7.876253059363866e-57,No,No,-1.2828416,3.1956062
84,10002,0.61189514,0.6208334,0.07985078,5.899663467221664e-45,No,6.97141181738948e-54,No,No,-1.3306731,3.6808906
85,10002,0.6073633,0.618301,0.08471129,1.1204398934234948e-51,No,1.8524659486627025e-90,No,No,-1.6865544,5.147168
86,10002,0.60559976,0.61524534,0.08377857,1.206987129072613e-51,No,1.0775945650682496e-85,No,No,-1.7725438,5.9071064
87,10002,0.5979265,0.61041343,0.09225092,1.4014689895836208e-60,No,4.372837962882812e-151,No,No,-2.2345002,7.8545456
88,10002,0.59293526,0.6046965,0.0937486,7.961388510250525e-62,No,1.6407506775188933e-161,No,No,-2.3621688,8.654501
89,10002,0.5807543,0.5969956,0.10982117,5.973821224297628e-68,No,7.453851406059741e-288,No,No,-2.8291512,10.189826
90,10002,0.57251525,0.58811533,0.11341929,8.433287683152388e-70,No,3.969350206598992e-299,No,No,-2.8687584,10.3765
91,10002,0.56438386,0.5777476,0.10781705,4.574144669540217e-66,No,1.7169194190318823e-234,No,No,-2.6106558,9.32307
92,10002,0.56135595,0.5702338,0.09599668,2.254738452076712e-56,No,1.3288876131510442e-104,No,No,-1.8522704,6.049062
93,10002,0.5635503,0.56946,0.08657489,5.226933411211223e-44,No,2.761839831357272e-42,No,No,-1.1434699,3.147077
94,10002,0.57563937,0.58069456,0.08138194,5.549275491347444e-35,No,1.9324497548367152e-23,No,No,-0.7784653,1.6659579
95,10002,0.592583,0.59657145,0.07526377,5.096900650217323e-28,No,3.705367522640536e-16,No,No,-0.6011434,0.9645939
96,10002,0.6076254,0.6116019,0.07203285,4.719574087826083e-27,No,1.9366352095902557e-18,No,No,-0.5628298,0.70108247
97,10002,0.61692864,0.62127185,0.06904754,1.3836163965664763e-23,No,1.740881054690247e-14,No,No,-0.5002765,0.509722
98,10002,0.62486476,0.62948835,0.068636544,5.183480483367254e-24,No,6.601285023409011e-14,No,No,-0.49568716,0.48341203
99,10002,0.6303264,0.6351211,0.06737764,1.6368044146319022e-21,No,3.5432037036977003e-12,No,No,-0.49116084,0.5211842
100,10002,0.6340271,0.63905895,0.0679146,7.407564458333176e-24,No,2.602350666003106e-11,No,No,-0.47825277,0.46792817
